, again, air, along, also, always, another, any, around, away, back, because, below, between, big, both, came, children, come, day, different, end, even, every, few, find, food, form, get, give, go, great, help, here, home, house, important, keep, large, last, left, line, look, me, men, might, much, must, name, never, new, next, number, off, old, our, own, part, place, put, right, same, set, show, something, sound, still, such, take, tell, think, thought, three, through, together, too, under, until, us, want, well, went, while, why, work, world, 
again, 0.000, 0.333, , , , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
air, 0.333, 0.000, , , , , , , , 0.333, , , , , , 0.333, 0.125, 0.333, 0.143, , 0.333, 0.250, , 0.100, 0.333, 0.167, 0.250, 0.333, 0.333, 0.333, 0.111, 0.250, 0.250, 0.250, 0.333, , 0.333, 0.167, 0.333, 0.333, 1.000, 0.333, 0.111, 0.167, 0.167, 0.125, 0.125, 0.333, , , , 0.250, 0.250, 0.167, , 0.333, 0.500, 0.250, 0.250, 0.250, 0.100, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.500, 0.333, 0.333, 0.125, , , , , , 0.167, 0.333, 0.167, 0.333, 0.111, 0.111, 0.333, 0.167, 
along, , , 0.000, , , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
also, , , , 0.000, , , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , 1.000, , , , 0.333, 0.167, 0.333, , , 0.333, , 
always, , , , , 0.000, , , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
another, , , , , , 0.000, , , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
any, , , , , , , 0.000, , , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
around, , , , , , , , 0.000, , 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
away, , , , , , , , , 0.000, 0.333, , , , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 1.000, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
back, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.000, , , , , , 0.333, 0.167, 0.333, 0.125, , 0.333, 0.250, , 0.077, 0.333, 0.125, 0.250, 0.333, 0.333, 0.500, 0.143, 0.333, 0.200, 0.250, 0.250, , 0.333, 0.091, 0.333, 0.333, 0.333, 0.333, 0.100, 0.167, 0.091, 0.091, 0.167, 0.333, , , , 0.250, 0.250, 0.091, , 0.333, 0.333, 0.500, 0.250, 0.333, 0.125, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.083, , , , , , 0.100, 0.333, 0.200, 0.500, 0.083, 0.091, 0.333, 0.250, 
because, , , , , , , , , , , 0.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
below, , , , , , , , , , , , 0.000, , , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , 1.000, , , 0.333, 0.167, 0.333, , , 0.333, , 
between, , , , , , , , , , , , , 0.000, , , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
big, , , , , , , , , , , , , , 0.000, , 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, 1.000, 0.250, , 0.200, 0.250, , 0.333, 1.000, 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
both, , , , , , , , , , , , , , , 0.000, 0.333, , 0.333, , , 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
came, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.000, , 1.000, , , 0.333, 0.250, , , 0.333, , 0.333, 1.000, 0.333, 0.500, , 0.250, , 0.250, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 1.000, 0.250, , , 0.333, 0.333, 0.333, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.200, 0.500, , , 0.333, , 
children, , 0.125, , , , , , , , 0.167, , , , , , , 0.000, 0.111, 0.200, , 0.143, 0.091, , 0.083, 0.100, 0.143, 0.125, 0.100, 0.100, 0.111, 0.250, 0.250, 0.143, 0.143, 0.125, , 0.100, 0.100, 0.100, 0.111, 0.143, 0.100, 0.083, 0.333, 0.100, 0.100, 0.143, 0.200, , , , 0.111, 0.091, 0.100, , 0.100, 0.167, 0.125, 0.091, 0.111, 0.200, 0.143, 0.100, , 0.143, 0.100, , 0.100, 0.200, 0.100, 0.100, 0.091, , , , , , 0.111, 0.143, 0.125, 0.100, 0.091, 0.091, 0.111, 0.143, 
come, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 1.000, 0.111, 0.000, 0.100, , 0.333, 0.250, , 0.077, 0.333, 0.143, 0.333, 1.000, 0.333, 0.500, 0.100, 0.250, 0.111, 0.250, 0.250, , 0.333, 0.091, 0.333, 0.333, 0.250, 0.333, 0.071, 0.111, 0.091, 0.091, 0.111, 0.333, , , , 1.000, 0.250, 0.091, , 0.333, 0.333, 0.333, 0.250, 0.250, 0.091, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.111, , , , , , 0.143, 0.333, 0.200, 0.500, 0.083, 0.083, 0.333, 0.111, 
day, , 0.143, , , , , , , , 0.125, , , , , , , 0.200, 0.100, 0.000, , 0.200, 0.500, , 0.100, 0.143, 0.125, 0.167, 0.143, 0.143, 0.200, 0.167, 0.167, 0.111, 0.125, 0.125, , 0.143, 0.125, 0.167, 0.143, 0.143, 0.143, 0.071, 0.200, 0.125, 0.167, 0.111, 0.143, , , , 0.200, 0.125, 0.167, , 0.143, 0.167, 0.143, 0.125, 0.125, 0.143, 0.200, 0.143, , 0.143, 0.125, , 0.143, 0.143, 0.143, 0.143, 0.125, , , , , , 0.100, 0.143, 0.100, 0.143, 0.333, 0.111, 0.143, 0.167, 
different, , , , , , , , , , , , , , , , , , , , 0.000, 0.333, 0.250, , , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
end, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 0.200, 0.333, 0.000, 0.333, , 0.100, 0.333, 0.333, 0.333, 0.333, 0.333, 0.500, 0.125, 0.250, 0.200, 0.200, 0.250, , 0.333, 0.167, 1.000, 0.333, 0.250, 0.333, 0.100, 0.167, 0.167, 0.167, 0.125, 0.333, , , , 0.333, 0.250, 0.167, , 0.333, 0.500, 0.500, 0.333, 0.333, 0.111, 0.333, 0.333, , 0.333, 0.333, , 0.333, 0.250, 0.333, 0.333, 0.125, , , , , , 0.100, 0.333, 0.167, 0.500, 0.143, 0.125, 0.333, 0.250, 
even, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, , 0.250, 0.250, 0.250, 0.250, 0.250, 0.091, 0.250, 0.500, 0.250, 0.333, 0.000, , 0.083, 0.333, 0.100, 0.333, 0.333, 0.333, 0.333, 0.083, 0.250, 0.091, 0.200, 0.250, , 0.333, 0.100, 0.333, 0.333, 0.250, 0.333, 0.062, 0.125, 0.100, 0.125, 0.091, 0.333, , , , 0.250, 0.250, 0.100, , 0.333, 0.333, 0.250, 0.333, 0.333, 0.077, 0.333, 0.333, , 0.333, 1.000, , 0.333, 0.250, 0.333, 0.333, 0.100, , , , , , 0.083, 0.333, 0.167, 0.333, 0.200, 0.091, 0.333, 0.125, 
every, , , , , , , , , , , , , , , , , , , , , , , 0.000, , 0.333, , 0.250, 0.333, 0.333, 0.333, , 0.250, , 0.200, 0.250, , 0.333, , 0.333, 0.333, 0.250, 0.333, , , , , , 0.333, , , , 0.250, 0.250, , , 0.333, 0.333, 0.250, 0.250, 0.250, , 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, , , , , , , , 0.333, 0.167, 0.333, , , 0.333, , 
few, , 0.100, , , , , , , , 0.077, , , , , , , 0.083, 0.077, 0.100, , 0.100, 0.083, , 0.000, 0.333, 0.091, 0.250, 0.333, 0.333, 0.333, 0.077, 0.250, 0.083, 0.200, 0.250, , 0.333, 0.091, 0.333, 0.333, 0.250, 0.333, 0.059, 0.143, 0.091, 0.091, 0.083, 0.333, , , , 0.250, 0.250, 0.091, , 0.333, 0.333, 0.250, 0.250, 0.250, 0.071, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.077, , , , , , 0.077, 0.333, 0.167, 0.333, 0.083, 0.083, 0.333, 0.200, 
find, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.000, 0.143, 0.333, 1.000, 0.333, 0.333, 0.091, 0.250, 0.100, 0.200, 0.250, , 0.333, 0.111, 0.333, 0.333, 0.250, 0.333, 0.067, 0.143, 0.111, 0.111, 0.100, 0.333, , , , 0.500, 0.250, 0.111, , 0.333, 0.333, 0.333, 0.250, 0.250, 0.083, 0.333, 0.333, , 0.333, 0.250, , 0.500, 0.250, 0.333, 0.333, 0.091, , , , , , 0.091, 0.333, 0.167, 0.333, 0.100, 0.125, 0.333, 0.143, 
food, , 0.167, , , , , , , , 0.125, , , , , , , 0.143, 0.143, 0.125, , 0.333, 0.100, , 0.091, 0.143, 0.000, 0.200, 0.143, 0.143, 0.143, 0.125, 0.125, 0.143, 0.143, 0.125, , 0.143, 0.111, 0.143, 0.143, 0.143, 0.143, 0.083, 0.143, 0.111, 0.111, 0.200, 0.143, , , , 0.125, 0.125, 0.111, , 0.143, 0.200, 0.250, 0.125, 0.167, 0.111, 0.167, 0.143, , 0.143, 0.125, , 0.143, 0.125, 0.143, 0.333, 0.111, , , , , , 0.143, 0.143, 0.111, 0.143, 0.100, 0.125, 0.143, 0.250, 
form, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, , 0.250, 0.250, 0.250, 0.250, 0.333, 0.125, 0.333, 0.167, 0.250, 0.333, 0.333, 0.250, 0.250, 0.333, 0.200, 0.000, 0.333, 0.333, 0.333, 0.111, 0.250, 0.143, 0.167, 0.250, , 0.250, 0.200, 0.250, 0.333, 0.500, 0.333, 0.083, 0.200, 0.200, 0.143, 0.143, 0.250, , , , 0.200, 0.200, 0.200, , 0.250, 0.333, 0.250, 0.333, 0.333, 0.100, 0.333, 0.250, , 0.250, 0.333, , 0.333, 0.200, 0.333, 0.333, 0.111, , , , , , 0.125, 0.250, 0.250, 0.333, 0.125, 0.125, 1.000, 0.250, 
get, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 1.000, 0.100, 1.000, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 1.000, 0.143, 0.333, 0.000, 0.333, 1.000, 0.056, 0.250, 0.059, 0.200, 0.250, , 0.333, 0.062, 0.333, 0.500, 0.250, 0.333, 0.045, 0.071, 0.062, 0.062, 0.059, 0.333, , , , 0.250, 0.250, 0.062, , 0.333, 0.333, 0.250, 0.333, 0.333, 0.053, 0.333, 0.333, , 0.333, 0.333, , 1.000, 0.250, 0.333, 0.333, 0.056, , , , , , 0.056, 0.333, 0.167, 1.000, 0.059, 0.067, 0.500, 0.071, 
give, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, , 0.333, 0.333, 0.333, 0.333, 0.333, 0.100, 0.333, 0.143, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 0.333, 0.000, 0.333, 0.083, 0.333, 0.091, 0.200, 0.250, , 0.333, 0.167, 0.333, 1.000, 0.250, 0.333, 0.062, 0.125, 0.167, 0.100, 0.125, 0.333, , , , 0.250, 0.250, 0.125, , 0.333, 0.333, 0.333, 0.333, 0.250, 0.077, 0.333, 0.500, , 0.333, 0.250, , 0.333, 0.500, 0.500, 0.500, 0.083, , , , , , 0.083, 0.333, 0.167, 0.333, 0.091, 0.091, 0.333, 0.125, 
go, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.500, , 0.333, 0.333, 0.333, 0.333, 0.500, 0.111, 0.500, 0.200, 0.333, 0.500, 0.333, 0.333, 0.333, 0.333, 0.143, 0.333, 1.000, 0.333, 0.000, 0.100, 0.250, 0.091, 0.333, 0.250, , 0.333, 0.091, 1.000, 0.500, 0.250, 0.333, 0.062, 0.111, 0.091, 0.100, 0.091, 0.333, , , , 0.333, 0.250, 0.091, , 0.333, 0.333, 0.250, 0.250, 0.250, 0.091, 0.333, 0.333, , 1.000, 0.250, , 0.500, 0.250, 0.333, 0.333, 0.083, , , , , , 0.083, 0.333, 0.250, 1.000, 0.143, 0.100, 1.000, 0.111, 
great, , 0.111, , , , , , , , 0.143, , , , 1.000, , , 0.250, 0.100, 0.167, , 0.125, 0.083, , 0.077, 0.091, 0.125, 0.111, 0.056, 0.083, 0.100, 0.000, 0.250, 0.125, 0.200, 0.250, , 0.333, 1.000, 0.333, 0.333, 0.250, 0.333, 0.077, 0.250, 0.091, 0.091, 0.125, 0.333, , , , 0.250, 0.250, 0.091, , 0.333, 0.333, 0.250, 0.250, 0.250, 0.167, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.083, , , , , , 0.100, 0.333, 0.167, 0.333, 0.083, 0.083, 0.333, 0.125, 
help, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.333, , 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.167, 0.250, 0.250, 0.250, 0.250, 0.250, 0.250, 0.125, 0.250, 0.250, 0.333, 0.250, 0.250, 0.000, 0.125, 0.167, 0.200, , 0.250, 0.125, 0.333, 0.333, 0.333, 0.333, 0.077, 0.333, 0.125, 0.100, 0.125, 0.250, , , , 0.200, 0.200, 0.125, , 0.250, 0.250, 0.250, 0.250, 0.250, 0.167, 0.250, 0.250, , 0.250, 0.250, , 0.250, 0.200, 0.250, 0.250, 0.083, , , , , , 0.100, 0.250, 0.143, 0.250, 0.091, 0.111, 0.500, 0.125, 
here, , 0.250, , , , , , , , 0.200, , , , , , , 0.143, 0.111, 0.111, , 0.200, 0.091, , 0.083, 0.100, 0.143, 0.143, 0.059, 0.091, 0.091, 0.125, 0.125, 0.000, 0.333, 0.250, , 0.333, 0.100, 0.333, 0.333, 0.333, 0.333, 0.125, 0.167, 0.100, 0.100, 0.143, 0.333, , , , 0.250, 0.250, 0.100, , 0.333, 0.333, 0.250, 0.250, 0.250, 0.111, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.091, , , , , , 0.125, 0.333, 0.167, 0.333, 0.091, 0.091, 0.333, 0.167, 
home, 0.200, 0.250, 0.200, 0.200, 0.200, 0.200, 0.200, 0.200, 0.200, 0.250, , 0.200, 0.200, 0.200, 0.200, 0.250, 0.143, 0.250, 0.125, 0.200, 0.200, 0.200, 0.200, 0.200, 0.200, 0.143, 0.167, 0.200, 0.200, 0.333, 0.200, 0.167, 0.333, 0.000, 1.000, , 0.333, 0.125, 0.333, 0.333, 0.333, 0.333, 0.125, 0.200, 0.125, 0.100, 0.143, 0.333, , , , 0.250, 0.250, 0.125, , 0.333, 0.333, 1.000, 0.250, 0.250, 0.111, 0.333, 0.333, , 0.333, 0.250, , 0.333, 0.250, 0.333, 0.333, 0.091, , , , , , 0.125, 0.333, 0.167, 0.333, 0.091, 0.091, 0.333, 0.167, 
